2017-04-04 17:10:02,358 - INFO - Reading from log file /etc/osg_display/osg_display.conf.
2017-04-04 17:10:02,359 - DEBUG - Setting script timeout to 3600.
2017-04-04 17:10:02,374 - INFO - Successfully connected to Gratia database
2017-04-04 17:10:16,187 - INFO - Gratia returned 199 results for jobs
2017-04-04 17:10:16,187 - DEBUG - Job result dump:
2017-04-04 17:10:16,195 - DEBUG - Time 2017-03-29 17:00: Count 5, Hours 4.14
2017-04-04 17:10:16,195 - DEBUG - Time 2017-03-29 18:00: Count 3, Hours 22.68
2017-04-04 17:10:16,195 - DEBUG - Time 2017-03-29 20:00: Count 6, Hours 3.62
2017-04-04 17:10:16,196 - DEBUG - Time 2017-03-29 21:00: Count 1, Hours 5.94
2017-04-04 17:10:16,196 - DEBUG - Time 2017-03-29 22:00: Count 2, Hours 45.32
2017-04-04 17:10:16,196 - DEBUG - Time 2017-03-29 23:00: Count 3, Hours 71.39
2017-04-04 17:10:16,196 - DEBUG - Time 2017-03-30 04:00: Count 1, Hours 0.00
2017-04-04 17:10:16,196 - DEBUG - Time 2017-03-30 13:00: Count 1, Hours 82.89
2017-04-04 17:10:16,196 - DEBUG - Time 2017-03-30 15:00: Count 1, Hours 81.23
2017-04-04 17:10:16,196 - DEBUG - Time 2017-03-30 16:00: Count 1, Hours 48.34
2017-04-04 17:10:16,196 - DEBUG - Time 2017-03-30 17:00: Count 2, Hours 57.08
2017-04-04 17:10:16,196 - DEBUG - Time 2017-03-30 18:00: Count 1, Hours 49.81
2017-04-04 17:10:16,196 - DEBUG - Time 2017-03-30 20:00: Count 3, Hours 136.59
2017-04-04 17:10:16,196 - DEBUG - Time 2017-03-30 21:00: Count 2, Hours 93.34
2017-04-04 17:10:16,197 - DEBUG - Time 2017-03-30 22:00: Count 8, Hours 464.55
2017-04-04 17:10:16,197 - DEBUG - Time 2017-03-30 23:00: Count 30, Hours 1504.59
2017-04-04 17:10:16,197 - DEBUG - Time 2017-03-31 00:00: Count 11, Hours 548.98
2017-04-04 17:10:16,197 - DEBUG - Time 2017-03-31 01:00: Count 4, Hours 197.33
2017-04-04 17:10:16,197 - DEBUG - Time 2017-03-31 02:00: Count 3, Hours 161.99
2017-04-04 17:10:16,197 - DEBUG - Time 2017-03-31 03:00: Count 3, Hours 116.64
2017-04-04 17:10:16,197 - DEBUG - Time 2017-03-31 04:00: Count 4, Hours 220.45
2017-04-04 17:10:16,197 - DEBUG - Time 2017-03-31 05:00: Count 4, Hours 200.98
2017-04-04 17:10:16,197 - DEBUG - Time 2017-03-31 06:00: Count 7, Hours 374.40
2017-04-04 17:10:16,198 - DEBUG - Time 2017-03-31 07:00: Count 6, Hours 342.83
2017-04-04 17:10:16,198 - DEBUG - Time 2017-03-31 08:00: Count 7, Hours 287.40
2017-04-04 17:10:16,198 - DEBUG - Time 2017-03-31 09:00: Count 5, Hours 290.42
2017-04-04 17:10:16,198 - DEBUG - Time 2017-03-31 10:00: Count 5, Hours 233.13
2017-04-04 17:10:16,198 - DEBUG - Time 2017-03-31 11:00: Count 7, Hours 204.25
2017-04-04 17:10:16,198 - DEBUG - Time 2017-03-31 12:00: Count 2, Hours 119.97
2017-04-04 17:10:16,198 - DEBUG - Time 2017-03-31 13:00: Count 3, Hours 170.07
2017-04-04 17:10:16,198 - DEBUG - Time 2017-03-31 14:00: Count 3, Hours 182.54
2017-04-04 17:10:16,198 - DEBUG - Time 2017-03-31 16:00: Count 2, Hours 72.81
2017-04-04 17:10:16,198 - DEBUG - Time 2017-03-31 17:00: Count 4, Hours 224.81
2017-04-04 17:10:16,198 - DEBUG - Time 2017-03-31 18:00: Count 2, Hours 136.49
2017-04-04 17:10:16,199 - DEBUG - Time 2017-03-31 19:00: Count 3, Hours 137.21
2017-04-04 17:10:16,199 - DEBUG - Time 2017-03-31 21:00: Count 1, Hours 68.94
2017-04-04 17:10:16,199 - DEBUG - Time 2017-03-31 22:00: Count 3, Hours 165.12
2017-04-04 17:10:16,199 - DEBUG - Time 2017-03-31 23:00: Count 6, Hours 430.90
2017-04-04 17:10:16,199 - DEBUG - Time 2017-04-01 00:00: Count 3, Hours 144.80
2017-04-04 17:10:16,199 - DEBUG - Time 2017-04-01 02:00: Count 1, Hours 78.19
2017-04-04 17:10:16,199 - DEBUG - Time 2017-04-01 03:00: Count 1, Hours 8.01
2017-04-04 17:10:16,199 - DEBUG - Time 2017-04-01 04:00: Count 1, Hours 78.85
2017-04-04 17:10:16,199 - DEBUG - Time 2017-04-01 07:00: Count 2, Hours 117.87
2017-04-04 17:10:16,199 - DEBUG - Time 2017-04-01 10:00: Count 1, Hours 87.03
2017-04-04 17:10:16,200 - DEBUG - Time 2017-04-01 12:00: Count 2, Hours 35.18
2017-04-04 17:10:16,200 - DEBUG - Time 2017-04-01 13:00: Count 1, Hours 16.98
2017-04-04 17:10:16,200 - DEBUG - Time 2017-04-01 18:00: Count 1, Hours 91.11
2017-04-04 17:10:16,200 - DEBUG - Time 2017-04-01 21:00: Count 2, Hours 80.24
2017-04-04 17:10:16,200 - DEBUG - Time 2017-04-01 23:00: Count 3, Hours 50.04
2017-04-04 17:10:16,200 - DEBUG - Time 2017-04-02 01:00: Count 1, Hours 83.62
2017-04-04 17:10:16,200 - DEBUG - Time 2017-04-02 02:00: Count 2, Hours 40.13
2017-04-04 17:10:16,200 - DEBUG - Time 2017-04-02 03:00: Count 1, Hours 86.05
2017-04-04 17:10:16,200 - DEBUG - Time 2017-04-02 04:00: Count 2, Hours 204.54
2017-04-04 17:10:16,200 - DEBUG - Time 2017-04-02 05:00: Count 3, Hours 184.78
2017-04-04 17:10:16,201 - DEBUG - Time 2017-04-02 06:00: Count 3, Hours 294.58
2017-04-04 17:10:16,201 - DEBUG - Time 2017-04-02 07:00: Count 4, Hours 172.78
2017-04-04 17:10:16,201 - DEBUG - Time 2017-04-02 08:00: Count 3, Hours 220.58
2017-04-04 17:10:16,201 - DEBUG - Time 2017-04-02 09:00: Count 5, Hours 295.69
2017-04-04 17:10:16,201 - DEBUG - Time 2017-04-02 10:00: Count 1, Hours 69.84
2017-04-04 17:10:16,201 - DEBUG - Time 2017-04-02 11:00: Count 2, Hours 7.98
2017-04-04 17:10:16,201 - DEBUG - Time 2017-04-02 12:00: Count 1, Hours 71.84
2017-04-04 17:10:16,201 - DEBUG - Time 2017-04-02 13:00: Count 4, Hours 212.03
2017-04-04 17:10:16,201 - DEBUG - Time 2017-04-02 14:00: Count 4, Hours 349.99
2017-04-04 17:10:16,201 - DEBUG - Time 2017-04-02 15:00: Count 1, Hours 87.08
2017-04-04 17:10:16,202 - DEBUG - Time 2017-04-02 16:00: Count 4, Hours 193.31
2017-04-04 17:10:16,202 - DEBUG - Time 2017-04-02 17:00: Count 1, Hours 77.29
2017-04-04 17:10:16,202 - DEBUG - Time 2017-04-02 18:00: Count 2, Hours 79.03
2017-04-04 17:10:16,202 - DEBUG - Time 2017-04-02 19:00: Count 3, Hours 238.13
2017-04-04 17:10:16,202 - DEBUG - Time 2017-04-02 20:00: Count 3, Hours 178.03
2017-04-04 17:10:16,202 - DEBUG - Time 2017-04-02 21:00: Count 1, Hours 81.01
2017-04-04 17:10:16,202 - DEBUG - Time 2017-04-02 22:00: Count 1, Hours 91.00
2017-04-04 17:10:16,202 - DEBUG - Time 2017-04-02 23:00: Count 3, Hours 183.50
2017-04-04 17:10:16,202 - DEBUG - Time 2017-04-03 00:00: Count 1, Hours 93.20
2017-04-04 17:10:16,202 - DEBUG - Time 2017-04-03 01:00: Count 5, Hours 289.08
2017-04-04 17:10:16,203 - DEBUG - Time 2017-04-03 02:00: Count 1, Hours 95.55
2017-04-04 17:10:16,203 - DEBUG - Time 2017-04-03 03:00: Count 32, Hours 1691.88
2017-04-04 17:10:16,203 - DEBUG - Time 2017-04-03 04:00: Count 21, Hours 2181.89
2017-04-04 17:10:16,203 - DEBUG - Time 2017-04-03 05:00: Count 3, Hours 0.69
2017-04-04 17:10:16,203 - DEBUG - Time 2017-04-03 06:00: Count 2, Hours 100.82
2017-04-04 17:10:16,203 - DEBUG - Time 2017-04-03 07:00: Count 4, Hours 227.80
2017-04-04 17:10:16,203 - DEBUG - Time 2017-04-03 08:00: Count 6, Hours 41.92
2017-04-04 17:10:16,203 - DEBUG - Time 2017-04-03 09:00: Count 2609, Hours 11951.16
2017-04-04 17:10:16,203 - DEBUG - Time 2017-04-03 10:00: Count 14089, Hours 55310.93
2017-04-04 17:10:16,203 - DEBUG - Time 2017-04-03 11:00: Count 12344, Hours 46121.02
2017-04-04 17:10:16,204 - DEBUG - Time 2017-04-03 12:00: Count 15002, Hours 42514.79
2017-04-04 17:10:16,204 - DEBUG - Time 2017-04-03 13:00: Count 14404, Hours 40642.99
2017-04-04 17:10:16,204 - DEBUG - Time 2017-04-03 14:00: Count 15757, Hours 73694.26
2017-04-04 17:10:16,204 - DEBUG - Time 2017-04-03 15:00: Count 18926, Hours 77479.25
2017-04-04 17:10:16,204 - DEBUG - Time 2017-04-03 16:00: Count 27131, Hours 105842.91
2017-04-04 17:10:16,204 - DEBUG - Time 2017-04-03 17:00: Count 38868, Hours 89146.91
2017-04-04 17:10:16,204 - DEBUG - Time 2017-04-03 18:00: Count 19254, Hours 64716.94
2017-04-04 17:10:16,204 - DEBUG - Time 2017-04-03 19:00: Count 17175, Hours 40634.08
2017-04-04 17:10:16,204 - DEBUG - Time 2017-04-03 20:00: Count 17092, Hours 35305.57
2017-04-04 17:10:16,204 - DEBUG - Time 2017-04-03 21:00: Count 17415, Hours 31634.25
2017-04-04 17:10:16,205 - DEBUG - Time 2017-04-03 22:00: Count 17830, Hours 34991.33
2017-04-04 17:10:16,205 - DEBUG - Time 2017-04-03 23:00: Count 18656, Hours 34689.23
2017-04-04 17:10:16,205 - DEBUG - Time 2017-04-04 00:00: Count 18830, Hours 35911.46
2017-04-04 17:10:16,205 - DEBUG - Time 2017-04-04 01:00: Count 18411, Hours 33032.33
2017-04-04 17:10:16,205 - DEBUG - Time 2017-04-04 02:00: Count 19011, Hours 36066.58
2017-04-04 17:10:16,205 - DEBUG - Time 2017-04-04 03:00: Count 16935, Hours 34475.01
2017-04-04 17:10:16,205 - DEBUG - Time 2017-04-04 04:00: Count 15200, Hours 30796.22
2017-04-04 17:10:16,205 - DEBUG - Time 2017-04-04 05:00: Count 14657, Hours 38157.92
2017-04-04 17:10:16,205 - DEBUG - Time 2017-04-04 06:00: Count 15241, Hours 34510.33
2017-04-04 17:10:16,205 - DEBUG - Time 2017-04-04 07:00: Count 16909, Hours 55707.24
2017-04-04 17:10:16,206 - DEBUG - Time 2017-04-04 08:00: Count 15647, Hours 37575.45
2017-04-04 17:10:16,206 - DEBUG - Time 2017-04-04 09:00: Count 14605, Hours 36616.21
2017-04-04 17:10:16,206 - DEBUG - Time 2017-04-04 10:00: Count 18707, Hours 44674.57
2017-04-04 17:10:16,206 - DEBUG - Time 2017-04-04 11:00: Count 16720, Hours 43965.10
2017-04-04 17:10:16,206 - DEBUG - Time 2017-04-04 12:00: Count 14564, Hours 50026.89
2017-04-04 17:10:16,206 - DEBUG - Time 2017-04-04 13:00: Count 16780, Hours 51612.97
2017-04-04 17:10:16,206 - DEBUG - Time 2017-04-04 14:00: Count 13609, Hours 25384.91
2017-04-04 17:10:16,206 - DEBUG - Time 2017-04-04 15:00: Count 15892, Hours 40493.67
2017-04-04 17:10:16,206 - DEBUG - Time 2017-04-04 16:00: Count 12734, Hours 29546.92
2017-04-04 17:10:16,206 - DEBUG - Time 2017-04-04 17:00: Count 12069, Hours 29258.58
2017-04-04 17:10:16,207 - DEBUG - Time 2017-04-04 18:00: Count 16900, Hours 40266.54
2017-04-04 17:10:16,207 - DEBUG - Time 2017-04-04 19:00: Count 15133, Hours 28313.87
2017-04-04 17:10:16,207 - DEBUG - Time 2017-04-04 20:00: Count 13058, Hours 28095.55
2017-04-04 17:10:16,207 - DEBUG - Time 2017-04-04 21:00: Count 8988, Hours 16271.57
2017-04-04 17:10:16,209 - DEBUG - Using temporary file /tmp/osg_displayEDxwZu for jobs_hourly
2017-04-04 17:10:16,418 - DEBUG - Overwriting /var/www/html/osg_display/jobs_hourly.png with /tmp/osg_displayEDxwZu.
2017-04-04 17:10:16,419 - DEBUG - Time log - Hourly Jobs Query Time: 14.0596249104
2017-04-04 17:10:16,733 - DEBUG - Using temporary file /tmp/osg_displayummFX6 for hours_hourly
2017-04-04 17:10:16,919 - DEBUG - Overwriting /var/www/html/osg_display/cpu_hours_hourly.png with /tmp/osg_displayummFX6.
2017-04-04 17:10:16,919 - DEBUG - Time log - Hourly Jobs Graph Time: 0.50012588501
2017-04-04 17:10:16,931 - INFO - Successfully loaded transfer data from cache; 63 cache entries.
2017-04-04 17:10:16,931 - DEBUG - Ignoring cached data from 2017-04-04 18:00:00 as it is over 30 minutes old and is for a recent interval.
2017-04-04 17:10:16,931 - DEBUG - Ignoring cached data from 2017-04-04 21:00:00 as it is over 30 minutes old and is for a recent interval.
2017-04-04 17:10:16,931 - DEBUG - Ignoring cached data from 2017-04-04 06:00:00 as it is over an hour old.
2017-04-04 17:10:16,931 - DEBUG - Ignoring cached data from 2017-04-04 06:00:00 as it is over 30 minutes old and is for a recent interval.
2017-04-04 17:10:16,931 - DEBUG - Ignoring cached data from 2017-04-04 08:00:00 as it is over an hour old.
2017-04-04 17:10:16,931 - DEBUG - Ignoring cached data from 2017-04-04 08:00:00 as it is over 30 minutes old and is for a recent interval.
2017-04-04 17:10:16,932 - DEBUG - Ignoring cached data from 2017-04-04 03:00:00 as it is over an hour old.
2017-04-04 17:10:16,932 - DEBUG - Ignoring cached data from 2017-04-04 14:00:00 as it is over an hour old.
2017-04-04 17:10:16,932 - DEBUG - Ignoring cached data from 2017-04-04 14:00:00 as it is over 30 minutes old and is for a recent interval.
2017-04-04 17:10:16,932 - DEBUG - Ignoring cached data from 2017-04-04 01:00:00 as it is over an hour old.
